log_file,log_dir,task_name,scenario,loss_pct,error_type,attributed_agent,source
planning_decision__tier5_mitigation__context_cache__tier5_loss_loss75__run2__8db20273.json,../../Tier5_Mitigation/logs_tier5_context_cache,planning_decision,tier5_loss_loss75,75,timeout,Reviewer,inferred
planning_decision__tier5_mitigation__context_cache__tier5_loss_loss75__run3__b979c9a3.json,../../Tier5_Mitigation/logs_tier5_context_cache,planning_decision,tier5_loss_loss75,75,timeout,Reviewer,inferred
planning_decision__tier5_mitigation__context_cache__tier5_loss_loss75__run3__b979c9a3.json,../../Tier5_Mitigation/logs_tier5_context_cache,planning_decision,tier5_loss_loss75,75,timeout,Reviewer,inferred
research_summary__tier5_mitigation__context_cache__tier5_loss_loss50__run3__58767ddf.json,../../Tier5_Mitigation/logs_tier5_context_cache,research_summary,tier5_loss_loss50,50,timeout,Worker,inferred
research_summary__tier5_mitigation__context_cache__tier5_loss_loss75__run2__cb3f7773.json,../../Tier5_Mitigation/logs_tier5_context_cache,research_summary,tier5_loss_loss75,75,timeout,Reviewer,inferred
research_summary__tier5_mitigation__context_cache__tier5_loss_loss75__run2__cb3f7773.json,../../Tier5_Mitigation/logs_tier5_context_cache,research_summary,tier5_loss_loss75,75,timeout,Reviewer,inferred
research_summary__tier5_mitigation__context_cache__tier5_loss_loss75__run3__c3a574a7.json,../../Tier5_Mitigation/logs_tier5_context_cache,research_summary,tier5_loss_loss75,75,timeout,Worker,inferred
research_summary__tier5_mitigation__context_cache__tier5_loss_loss75__run3__c3a574a7.json,../../Tier5_Mitigation/logs_tier5_context_cache,research_summary,tier5_loss_loss75,75,timeout,Reviewer,inferred
research_summary__tier5_mitigation__context_cache__tier5_loss_loss75__run4__7301a0f2.json,../../Tier5_Mitigation/logs_tier5_context_cache,research_summary,tier5_loss_loss75,75,timeout,Reviewer,inferred
coding_task__tier5_mitigation__adaptive_timeout__tier5_loss_loss1__run5__7f51711f.json,../../Tier5_Mitigation/logs_tier5_adaptive_timeout,coding_task,tier5_loss_loss1,1,timeout,Worker,inferred
data_analysis__tier5_mitigation__adaptive_timeout__tier5_loss_loss75__run1__92a2f9e5.json,../../Tier5_Mitigation/logs_tier5_adaptive_timeout,data_analysis,tier5_loss_loss75,75,timeout,Reviewer,inferred
planning_decision__tier5_mitigation__adaptive_timeout__tier5_loss_loss75__run3__98f62de0.json,../../Tier5_Mitigation/logs_tier5_adaptive_timeout,planning_decision,tier5_loss_loss75,75,timeout,Worker,inferred
planning_decision__tier5_mitigation__adaptive_timeout__tier5_loss_loss75__run4__2fda6144.json,../../Tier5_Mitigation/logs_tier5_adaptive_timeout,planning_decision,tier5_loss_loss75,75,timeout,Worker,inferred
planning_decision__tier5_mitigation__adaptive_timeout__tier5_loss_loss75__run5__a999d684.json,../../Tier5_Mitigation/logs_tier5_adaptive_timeout,planning_decision,tier5_loss_loss75,75,timeout,Reviewer,inferred
research_summary__tier5_mitigation__adaptive_timeout__tier5_loss_loss75__run4__1f30722f.json,../../Tier5_Mitigation/logs_tier5_adaptive_timeout,research_summary,tier5_loss_loss75,75,timeout,Reviewer,inferred
